video_url,comment
https://www.youtube.com/watch?v=aA98ajOleo0,Ayok.kapan ke Madura tapi ngak lewat Suramadu lewat pelabuhan perak
https://www.youtube.com/watch?v=aA98ajOleo0,"Apakah sebagai penganti joyoboyo-mojokerto ?
Sepertinya lebih proper dan lebih nyaman, rasanya ingin mengulangan masa saat ada bis ijo mojokerto joyoboyo"
https://www.youtube.com/watch?v=aA98ajOleo0,Selamat atas peluncuran bus trans Jatim... Semoga semakin banyak orang yang naik...
https://www.youtube.com/watch?v=aA98ajOleo0,"Sansoyo keren TRANSJATIM Drivernya memakai seragam dinas, berasa di eropah menontonya saya "
https://www.youtube.com/watch?v=aA98ajOleo0,Sragen hadir mas Wildan
https://www.youtube.com/watch?v=aA98ajOleo0,cobain mas wildan dr terminal purabaya ke mojokerto biar kita tahu jadwalnya
https://www.youtube.com/watch?v=aA98ajOleo0,Joss pelan2 buk
https://www.youtube.com/watch?v=aA98ajOleo0,semogo kedepan nya di temanggung qda tran
https://www.youtube.com/watch?v=aA98ajOleo0,"Koridor 3 akan menyusul Mojokerto - gresik
Ditambah lagi nantinya Mojokerto - Pasuruan"
https://www.youtube.com/watch?v=aA98ajOleo0,Mantab mas ..
https://www.youtube.com/watch?v=aA98ajOleo0,Medan hadirr
https://www.youtube.com/watch?v=aA98ajOleo0,"darat..laut..udara
libas trusssss
mantapppp
sehat slalu mas wildani"
https://www.youtube.com/watch?v=aA98ajOleo0,"17:44 pabrik legend
TJIWIKIMIA"
https://www.youtube.com/watch?v=aA98ajOleo0,nunggu mojokerto malang  atau tuban biar kepantai ga capek naik motor
https://www.youtube.com/watch?v=aA98ajOleo0,Mantap
https://www.youtube.com/watch?v=aA98ajOleo0,Semoga pelayananya juga yg terbaik.... sukses slalu
https://www.youtube.com/watch?v=aA98ajOleo0,"Next semoga rute ke 3, Surabaya, Sidoarjo, Pasuruan,malang"
https://www.youtube.com/watch?v=aA98ajOleo0,Bu Sri...
https://www.youtube.com/watch?v=aA98ajOleo0,Arah yg ke perak pelabuhan ke bungur asih coba di aktifkan lagi yg lewat kota..kasian bnyak penumpang yg membutuhkan..
https://www.youtube.com/watch?v=aA98ajOleo0,"Haadiir Cak 
Wiiih maantaap  driver women "
https://www.youtube.com/watch?v=aA98ajOleo0,"Sebaiknya membuat rute dari terminal ke brangkal, surodinawan Brawijaya stasiun empunala mertek dan seterusnya. Dengan tarif minimal krian."
https://www.youtube.com/watch?v=aA98ajOleo0,00:01-00:56 back soudnya berasa lagi nonton kontennya mas arkan
https://www.youtube.com/watch?v=aA98ajOleo0,"MJOKERTO. HEBAT. 
JATIM. JAYA. LUAR BIASAAA. "
https://www.youtube.com/watch?v=aA98ajOleo0,smg tranjatim sampai jombang.
https://www.youtube.com/watch?v=aA98ajOleo0,Semoga jatim taun depan bisa punya krl dan lrt.. Amin
https://www.youtube.com/watch?v=aA98ajOleo0,Assalamualaikum kak mbah klaten haderikut reviu mbok reviu motar pake rangka e saf
https://www.youtube.com/watch?v=yIPZQfbVnbg,Ijin mampir mami  nyimak bus trans jatim   dengan harga cukup 5000  bisa naik bus yang bagus dengan rute sidoarjo sampe gresik lumayan jauh rutenya mantapsalam kenal plus saya kirim paket komplitnya biar tambah berkembang canelnya sukses selalu
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Assalamu'alaikum, Wah Busnya Keren Keren Nih Bus Trans Jatim, Untuk Ruto Sidoarjo, Surabaya, Sukses Selalu Dan Selamat Berkarya"
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Buat yang sangat bermanfaat sekali kawan ku, buat trans ini sungguh keren rute nya, ini seperti di tempat yang begitu santuy, semangat perjalanan nya ya mbak."
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Waaahhh asyiiikkk naik Bis ya Min,,,, wah dilengkapi CCTV ya bis nya kereenn"
https://www.youtube.com/watch?v=yIPZQfbVnbg,"assalamualaikum...Masya Allah bus trans Jatim, Masya Allah Indonesia semakin maju alat transportasinya salam kenal salam silaturahmi"
https://www.youtube.com/watch?v=yIPZQfbVnbg,"wah keren banget min busnya.. Orang Jatim, tapi saya belum pernah nyobain"
https://www.youtube.com/watch?v=yIPZQfbVnbg,Alhmdllh senang salut aqu klo mudik cukup nunggu di halte RS.Semen Gresik  tinggal.di Bogor  asal Jl.RA Kartini gg.kenal pot xvi.Sidomoro moga sukses rame terus.
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Wah Bus Trans Jatim keren, bisa traveling muter-muter jawa timur"
https://www.youtube.com/watch?v=yIPZQfbVnbg,waaaah...ini baru bis...manteb Om @forkman traveler ini mamin dan pamin pasti adhem suejuk pol...plus pemandangan sing lega....lho...ketok Suroboyo Bus pisan...wkwkwk aku ikut aku ikut
https://www.youtube.com/watch?v=yIPZQfbVnbg,"waaahhh keren sepanjang jalan perjalanan sangat menikmati pemandangan nya,bus nya juga terlihat nyaman..."
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Hadir lagi mami sahabatku , Terima kasih infonya yang sangat bermamfaat bagi travellerSudah selalu terhubung "
https://www.youtube.com/watch?v=yIPZQfbVnbg,Nyimak rute perjalanan nya rekan..salam.kenal yu
https://www.youtube.com/watch?v=yIPZQfbVnbg,Ini yang kami tunggu orang Gresik....semoga rute rute selanjutnya bersambung..amin
https://www.youtube.com/watch?v=yIPZQfbVnbg,Busnya terlihat nyaman ya. Smoga slalu sehat bunda
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Bus   tras  jatim bagus  baget  ,, nyaman  sekali  bis   nya  ,  hrg   cukup  murah  ..terima  kasih  udah   berbagi  bunda"
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bus nya nyaman sekali dan biaya nya murah juga ya kak
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Sepertinya nyaman ya naik busnya, lebih aman juga 
Selamat menikmati perjalanannya yang seru sekali "
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Bus trans Jatim mantap,, makasih sharing nya"
https://www.youtube.com/watch?v=yIPZQfbVnbg,Wah seru nih kak..naik trans jatim... Bisnya keren
https://www.youtube.com/watch?v=yIPZQfbVnbg,Waaach...keren benet bus nya. Mantaaab
https://www.youtube.com/watch?v=yIPZQfbVnbg,"Bus Trans Jatim Route Sidoarjo-Surabaya-Gresik..
Bagus bus nya Kak...
Keren Kak.."
https://www.youtube.com/watch?v=yIPZQfbVnbg,Bus trans jatim keren kaka salam silaturahim L 53
https://www.youtube.com/watch?v=yIPZQfbVnbg,Smg segera ada rute jombang mjkerto pasuruan
